id_venda,data_venda,id_cliente,nome_cliente,cidade,estado,categoria,produto,quantidade,valor_unitario,desconto,valor_total,forma_pagamento,avaliacao_cliente,mes,ano,trimestre
25,2024-10-08,51,Cliente_0051,Salvador,Ba,Alimentos,Chocolate Belga,4,34.69,0.2,111.01,Dinheiro,2.0,Outubro,2024,4
26,2024-09-03,110,Cliente_0110,Salvador,Ba,Eletrônicos,Smartphone,4,1902.66,0.05,7230.11,Dinheiro,5.0,Setembro,2024,3
27,2024-08-20,147,Cliente_0147,Campinas,Sp,Vestuário,Vestido,3,177.65,0.2,426.36,Dinheiro,4.0,Agosto,2024,3
28,2024-10-23,377,Cliente_0377,Feira De Santana,Ba,Casa & Decoração,Tapete,2,299.85,0.0,599.7,Pix,4.0,Outubro,2024,4
29,2024-09-28,81,Cliente_0081,Joinville,Sc,Eletrônicos,Smartphone,5,1833.27,0.2,7333.08,Pix,2.0,Setembro,2024,3
30,2024-03-02,483,Cliente_0483,Florianópolis,Sc,Vestuário,Camiseta,2,53.65,0.05,101.93,Cartão De Crédito,5.0,Março,2024,1
31,2024-09-24,162,Cliente_0162,Niterói,Rj,Eletrônicos,Smartwatch,5,817.21,0.1,3677.44,Cartão De Crédito,5.0,Setembro,2024,3
32,2024-11-26,154,Cliente_0154,Caxias Do Sul,Rs,Alimentos,Whey Protein,2,176.55,0.15,300.14,Dinheiro,4.0,Novembro,2024,4
33,2024-02-07,276,Cliente_0276,Olinda,Pe,Eletrônicos,Smartphone,5,1643.42,0.0,8217.1,Cartão De Crédito,3.0,Fevereiro,2024,1
34,2024-08-12,427,Cliente_0427,Feira De Santana,Ba,Alimentos,Café Premium,3,49.04,0.0,147.12,Cartão De Crédito,,Agosto,2024,3
35,2024-05-15,60,Cliente_0060,Pelotas,Rs,Eletrônicos,Smartwatch,1,874.5,0.0,874.5,Pix,5.0,Maio,2024,2
36,2024-06-24,105,Cliente_0105,Pelotas,Rs,Vestuário,Tênis,2,317.44,0.15,539.65,Boleto,5.0,Junho,2024,2
37,2024-05-21,23,Cliente_0023,São Paulo,Sp,Casa & Decoração,Quadro Decorativo,4,181.61,0.2,581.15,Boleto,1.0,Maio,2024,2
38,2024-01-05,58,Cliente_0058,Olinda,Pe,Alimentos,Whey Protein,4,173.79,0.1,625.64,Boleto,3.0,Janeiro,2024,1
39,2024-03-16,221,Cliente_0221,Campinas,Sp,Vestuário,Jaqueta,5,258.17,0.1,1161.77,Cartão De Crédito,3.0,Março,2024,1
40,2024-02-22,182,Cliente_0182,Vitória Da Conquista,Ba,Eletrônicos,Fone De Ouvido,2,345.81,0.15,587.88,Boleto,5.0,Fevereiro,2024,1
41,2024-03-31,452,Cliente_0452,Belo Horizonte,Mg,Casa & Decoração,Almofada,2,63.78,0.2,102.05,Cartão De Crédito,4.0,Março,2024,1
42,2024-12-25,56,Cliente_0056,Feira De Santana,Ba,Alimentos,Chocolate Belga,2,34.97,0.2,55.95,Cartão De Crédito,4.0,Dezembro,2024,4
43,2024-04-26,115,Cliente_0115,Feira De Santana,Ba,Casa & Decoração,Tapete,3,271.16,0.0,813.48,Cartão De Crédito,2.0,Abril,2024,2
44,2024-09-17,205,Cliente_0205,Niterói,Rj,Alimentos,Azeite Importado,3,85.47,0.15,217.95,Boleto,5.0,Setembro,2024,3
45,2024-05-15,20,Cliente_0020,Niterói,Rj,Alimentos,Café Premium,2,42.83,0.1,77.09,Cartão De Crédito,3.0,Maio,2024,2
46,2024-10-22,98,Cliente_0098,Blumenau,Sc,Alimentos,Chocolate Belga,1,36.14,0.05,34.33,Pix,4.0,Outubro,2024,4
47,2024-08-08,36,Cliente_0036,Aparecida De Goiânia,Go,Eletrônicos,Smartwatch,2,769.87,0.0,1539.74,Dinheiro,5.0,Agosto,2024,3
48,2024-07-28,168,Cliente_0168,Pelotas,Rs,Alimentos,Café Premium,3,45.18,0.15,115.21,Cartão De Crédito,4.0,Julho,2024,3
49,2024-03-30,316,Cliente_0316,Caucaia,Ce,Vestuário,Calça Jeans,4,150.39,0.15,511.33,Cartão De Crédito,4.0,Março,2024,1
50,2024-10-23,311,Cliente_0311,Porto Alegre,Rs,Eletrônicos,Fone De Ouvido,4,327.94,0.2,1049.41,Pix,5.0,Outubro,2024,4
51,2024-02-13,146,Cliente_0146,Anápolis,Go,Casa & Decoração,Tapete,2,327.08,0.0,654.16,Pix,4.0,Fevereiro,2024,1
52,2024-04-11,76,Cliente_0076,Vitória Da Conquista,Ba,Alimentos,Café Premium,3,47.48,0.0,142.44,Cartão De Crédito,2.0,Abril,2024,2
53,2024-10-21,100,Cliente_0100,Niterói,Rj,Casa & Decoração,Almofada,4,75.07,0.15,255.24,Cartão De Crédito,5.0,Outubro,2024,4
54,2024-02-24,399,Cliente_0399,Juiz De Fora,Mg,Casa & Decoração,Tapete,1,322.61,0.2,258.09,Cartão De Crédito,4.0,Fevereiro,2024,1
55,2024-03-09,411,Cliente_0411,Goiânia,Go,Casa & Decoração,Luminária,1,131.53,0.05,124.95,Pix,4.0,Março,2024,1
56,2024-10-07,229,Cliente_0229,Blumenau,Sc,Alimentos,Chocolate Belga,5,37.95,0.05,180.26,Pix,5.0,Outubro,2024,4
57,2024-09-23,249,Cliente_0249,Porto Alegre,Rs,Casa & Decoração,Vaso,3,81.68,0.2,196.03,Cartão De Crédito,5.0,Setembro,2024,3
58,2024-10-03,42,Cliente_0042,Feira De Santana,Ba,Eletrônicos,Fone De Ouvido,3,328.72,0.0,986.16,Cartão De Crédito,3.0,Outubro,2024,4
59,2024-10-04,239,Cliente_0239,Niterói,Rj,Vestuário,Calça Jeans,4,135.45,0.0,541.8,Cartão De Crédito,4.0,Outubro,2024,4
60,2024-10-21,195,Cliente_0195,Blumenau,Sc,Casa & Decoração,Vaso,1,85.89,0.2,68.71,Dinheiro,4.0,Outubro,2024,4
61,2024-11-04,460,Cliente_0460,Caucaia,Ce,Alimentos,Chocolate Belga,5,34.22,0.2,136.88,Cartão De Crédito,4.0,Novembro,2024,4
62,2024-12-13,409,Cliente_0409,Campinas,Sp,Casa & Decoração,Vaso,3,84.93,0.15,216.57,Cartão De Crédito,4.0,Dezembro,2024,4
63,2024-10-30,289,Cliente_0289,Blumenau,Sc,Casa & Decoração,Tapete,1,318.66,0.05,302.73,Cartão De Crédito,5.0,Outubro,2024,4
64,2024-07-13,168,Cliente_0168,Recife,Pe,Casa & Decoração,Tapete,1,290.43,0.0,290.43,Cartão De Crédito,3.0,Julho,2024,3
65,2024-01-10,384,Cliente_0384,Juazeiro Do Norte,Ce,Casa & Decoração,Quadro Decorativo,1,180.72,0.05,171.68,Dinheiro,4.0,Janeiro,2024,1
66,2024-01-16,487,Cliente_0487,Petrópolis,Rj,Alimentos,Whey Protein,1,190.61,0.2,152.49,Boleto,4.0,Janeiro,2024,1
67,2024-04-21,239,Cliente_0239,Uberlândia,Mg,Vestuário,Calça Jeans,1,138.3,0.1,124.47,Boleto,5.0,Abril,2024,2
68,2024-03-24,494,Cliente_0494,Blumenau,Sc,Vestuário,Jaqueta,1,264.05,0.2,211.24,Pix,4.0,Março,2024,1
69,2024-10-30,354,Cliente_0354,Juazeiro Do Norte,Ce,Alimentos,Granola,2,25.62,0.0,51.24,Cartão De Crédito,5.0,Outubro,2024,4
70,2024-09-29,220,Cliente_0220,Petrópolis,Rj,Alimentos,Granola,1,30.73,0.0,30.73,Cartão De Crédito,,Setembro,2024,3
71,2024-07-04,326,Cliente_0326,Juazeiro Do Norte,Ce,Alimentos,Café Premium,1,47.45,0.05,45.08,Pix,5.0,Julho,2024,3
72,2024-05-18,316,Cliente_0316,Juiz De Fora,Mg,Vestuário,Vestido,5,177.61,0.15,754.84,Pix,5.0,Maio,2024,2
73,2024-06-14,437,Cliente_0437,Caucaia,Ce,Casa & Decoração,Vaso,5,80.2,0.0,401.0,Dinheiro,4.0,Junho,2024,2
74,2024-12-08,195,Cliente_0195,Feira De Santana,Ba,Alimentos,Chocolate Belga,5,37.21,0.1,167.45,Pix,4.0,Dezembro,2024,4
75,2024-05-12,175,Cliente_0175,Recife,Pe,Alimentos,Whey Protein,3,196.82,0.2,472.37,Pix,4.0,Maio,2024,2
76,2024-05-03,369,Cliente_0369,Santos,Sp,Alimentos,Granola,2,29.28,0.0,58.56,Pix,4.0,Maio,2024,2
77,2024-05-30,114,Cliente_0114,Caruaru,Pe,Vestuário,Vestido,1,199.25,0.0,199.25,Cartão De Crédito,4.0,Maio,2024,2
78,2024-10-08,170,Cliente_0170,Aparecida De Goiânia,Go,Alimentos,Chocolate Belga,3,32.02,0.05,91.26,Pix,4.0,Outubro,2024,4
79,2024-03-02,381,Cliente_0381,Salvador,Ba,Alimentos,Azeite Importado,2,76.76,0.0,153.52,Boleto,4.0,Março,2024,1
80,2024-10-28,390,Cliente_0390,Vitória Da Conquista,Ba,Vestuário,Calça Jeans,4,137.55,0.0,550.2,Cartão De Crédito,4.0,Outubro,2024,4
81,2024-06-03,8,Cliente_0008,Porto Alegre,Rs,Eletrônicos,Notebook,3,3754.17,0.0,11262.51,Cartão De Crédito,5.0,Junho,2024,2
82,2024-09-08,53,Cliente_0053,Anápolis,Go,Eletrônicos,Smartphone,2,1844.39,0.15,3135.46,Pix,5.0,Setembro,2024,3
83,2024-05-09,482,Cliente_0482,Caruaru,Pe,Casa & Decoração,Vaso,2,85.99,0.0,171.98,Cartão De Crédito,5.0,Maio,2024,2
84,2024-12-17,28,Cliente_0028,Recife,Pe,Eletrônicos,Tablet,5,1095.25,0.15,4654.81,Boleto,3.0,Dezembro,2024,4
85,2024-08-01,311,Cliente_0311,Salvador,Ba,Alimentos,Café Premium,5,43.3,0.2,173.2,Pix,4.0,Agosto,2024,3
86,2024-06-05,292,Cliente_0292,Caruaru,Pe,Casa & Decoração,Vaso,5,85.89,0.05,407.98,Pix,5.0,Junho,2024,2
87,2024-05-02,89,Cliente_0089,Feira De Santana,Ba,Eletrônicos,Notebook,1,3660.72,0.0,3660.72,Cartão De Crédito,4.0,Maio,2024,2
88,2024-04-28,148,Cliente_0148,Joinville,Sc,Casa & Decoração,Vaso,3,91.45,0.0,274.35,Pix,5.0,Abril,2024,2
89,2024-04-11,218,Cliente_0218,Feira De Santana,Ba,Casa & Decoração,Luminária,5,138.99,0.15,590.71,Cartão De Crédito,3.0,Abril,2024,2
90,2024-06-06,305,Cliente_0305,Belo Horizonte,Mg,Vestuário,Tênis,1,297.34,0.0,297.34,Pix,5.0,Junho,2024,2
91,2024-07-25,483,Cliente_0483,Niterói,Rj,Alimentos,Chocolate Belga,3,32.34,0.15,82.47,Pix,4.0,Julho,2024,3
92,2024-06-14,310,Cliente_0310,Florianópolis,Sc,Casa & Decoração,Luminária,4,134.5,0.15,457.3,Cartão De Crédito,4.0,Junho,2024,2
93,2024-09-22,334,Cliente_0334,Florianópolis,Sc,Eletrônicos,Fone De Ouvido,2,368.25,0.05,699.68,Cartão De Crédito,4.0,Setembro,2024,3
94,2024-06-19,165,Cliente_0165,Niterói,Rj,Casa & Decoração,Vaso,3,90.09,0.05,256.76,Boleto,5.0,Junho,2024,2
95,2024-10-08,19,Cliente_0019,Caruaru,Pe,Alimentos,Chocolate Belga,4,36.9,0.2,118.08,Cartão De Crédito,4.0,Outubro,2024,4
96,2024-10-04,237,Cliente_0237,Caucaia,Ce,Alimentos,Café Premium,1,44.94,0.15,38.2,Cartão De Crédito,4.0,Outubro,2024,4
97,2024-01-27,105,Cliente_0105,Olinda,Pe,Alimentos,Granola,4,28.13,0.2,90.02,Cartão De Crédito,4.0,Janeiro,2024,1
98,2024-11-07,410,Cliente_0410,Recife,Pe,Alimentos,Chocolate Belga,1,34.49,0.15,29.32,Cartão De Crédito,4.0,Novembro,2024,4
99,2024-02-28,237,Cliente_0237,Fortaleza,Ce,Eletrônicos,Smartwatch,2,724.07,0.2,1158.51,Pix,5.0,Fevereiro,2024,1
100,2024-09-04,242,Cliente_0242,Pelotas,Rs,Vestuário,Vestido,3,174.18,0.05,496.41,Pix,4.0,Setembro,2024,3
101,2024-02-05,142,Cliente_0142,Blumenau,Sc,Casa & Decoração,Tapete,2,270.98,0.2,433.57,Boleto,5.0,Fevereiro,2024,1
102,2024-06-01,429,Cliente_0429,Porto Alegre,Rs,Alimentos,Granola,3,28.76,0.15,73.34,Dinheiro,4.0,Junho,2024,2
103,2024-06-19,283,Cliente_0283,Olinda,Pe,Casa & Decoração,Tapete,4,287.9,0.0,1151.6,Cartão De Crédito,5.0,Junho,2024,2
104,2024-07-29,23,Cliente_0023,Vitória Da Conquista,Ba,Alimentos,Whey Protein,4,189.32,0.0,757.28,Pix,4.0,Julho,2024,3
105,2024-09-14,495,Cliente_0495,Uberlândia,Mg,Casa & Decoração,Vaso,1,96.25,0.0,96.25,Boleto,4.0,Setembro,2024,3
106,2024-03-14,210,Cliente_0210,Anápolis,Go,Casa & Decoração,Luminária,1,122.53,0.15,104.15,Dinheiro,5.0,Março,2024,1
107,2024-07-22,333,Cliente_0333,Caxias Do Sul,Rs,Eletrônicos,Tablet,5,1178.49,0.15,5008.58,Cartão De Crédito,3.0,Julho,2024,3
108,2024-02-05,121,Cliente_0121,Olinda,Pe,Casa & Decoração,Quadro Decorativo,1,198.66,0.1,178.79,Dinheiro,5.0,Fevereiro,2024,1
109,2024-03-26,356,Cliente_0356,Fortaleza,Ce,Vestuário,Camiseta,1,55.8,0.05,53.01,Cartão De Crédito,4.0,Março,2024,1
110,2024-03-15,126,Cliente_0126,Caxias Do Sul,Rs,Alimentos,Café Premium,3,41.19,0.05,117.39,Pix,4.0,Março,2024,1
111,2024-07-14,318,Cliente_0318,Belo Horizonte,Mg,Vestuário,Calça Jeans,5,142.73,0.2,570.92,Pix,5.0,Julho,2024,3
112,2024-05-10,342,Cliente_0342,Olinda,Pe,Vestuário,Calça Jeans,3,138.9,0.05,395.86,Boleto,1.0,Maio,2024,2
113,2024-10-27,154,Cliente_0154,Belo Horizonte,Mg,Alimentos,Granola,4,30.41,0.0,121.64,Cartão De Crédito,5.0,Outubro,2024,4
114,2024-09-04,55,Cliente_0055,Porto Alegre,Rs,Alimentos,Chocolate Belga,4,37.16,0.2,118.91,Pix,4.0,Setembro,2024,3
115,2024-01-05,290,Cliente_0290,Santos,Sp,Alimentos,Azeite Importado,4,81.11,0.0,324.44,Boleto,5.0,Janeiro,2024,1
116,2024-06-29,113,Cliente_0113,Caruaru,Pe,Eletrônicos,Smartwatch,2,859.43,0.1,1546.97,Pix,5.0,Junho,2024,2
117,2024-10-23,187,Cliente_0187,Campinas,Sp,Vestuário,Camiseta,4,62.58,0.0,250.32,Cartão De Crédito,5.0,Outubro,2024,4
118,2024-10-03,449,Cliente_0449,Fortaleza,Ce,Alimentos,Azeite Importado,2,74.05,0.0,148.1,Pix,5.0,Outubro,2024,4
119,2024-06-22,412,Cliente_0412,Caxias Do Sul,Rs,Alimentos,Whey Protein,3,203.84,0.15,519.79,Dinheiro,3.0,Junho,2024,2
120,2024-07-21,8,Cliente_0008,Caucaia,Ce,Vestuário,Calça Jeans,3,150.17,0.0,450.51,Cartão De Crédito,4.0,Julho,2024,3
121,2024-12-11,120,Cliente_0120,Joinville,Sc,Alimentos,Azeite Importado,3,83.86,0.0,251.58,Pix,4.0,Dezembro,2024,4
122,2024-08-25,466,Cliente_0466,Vitória Da Conquista,Ba,Alimentos,Granola,1,30.22,0.15,25.69,Pix,5.0,Agosto,2024,3
123,2024-02-29,50,Cliente_0050,São Paulo,Sp,Eletrônicos,Notebook,3,3372.6,0.05,9611.91,Pix,4.0,Fevereiro,2024,1
124,2024-10-27,381,Cliente_0381,Maringá,Pr,Casa & Decoração,Vaso,5,82.06,0.05,389.78,Boleto,5.0,Outubro,2024,4
125,2024-12-19,190,Cliente_0190,Joinville,Sc,Eletrônicos,Tablet,3,1134.7,0.0,3404.1,Cartão De Crédito,3.0,Dezembro,2024,4
126,2024-11-26,184,Cliente_0184,Petrópolis,Rj,Vestuário,Tênis,3,294.64,0.1,795.53,Cartão De Crédito,2.0,Novembro,2024,4
127,2024-11-23,306,Cliente_0306,Petrópolis,Rj,Eletrônicos,Tablet,2,1276.32,0.15,2169.74,Cartão De Crédito,5.0,Novembro,2024,4
128,2024-10-10,107,Cliente_0107,Juiz De Fora,Mg,Alimentos,Whey Protein,2,202.64,0.0,405.28,Boleto,4.0,Outubro,2024,4
129,2024-03-15,67,Cliente_0067,Juiz De Fora,Mg,Vestuário,Tênis,1,269.52,0.0,269.52,Boleto,4.0,Março,2024,1
130,2024-05-01,302,Cliente_0302,Belo Horizonte,Mg,Eletrônicos,Smartphone,3,1803.87,0.2,4329.29,Cartão De Crédito,4.0,Maio,2024,2
131,2024-02-02,244,Cliente_0244,Caucaia,Ce,Eletrônicos,Notebook,1,3442.19,0.15,2925.86,Cartão De Crédito,4.0,Fevereiro,2024,1
132,2024-12-03,267,Cliente_0267,Goiânia,Go,Eletrônicos,Tablet,5,1133.31,0.0,5666.55,Pix,4.0,Dezembro,2024,4
133,2024-02-25,252,Cliente_0252,Caruaru,Pe,Eletrônicos,Smartphone,4,1663.15,0.15,5654.71,Cartão De Crédito,5.0,Fevereiro,2024,1
134,2024-05-20,320,Cliente_0320,Florianópolis,Sc,Eletrônicos,Fone De Ouvido,1,338.63,0.0,338.63,Pix,5.0,Maio,2024,2
135,2024-09-15,310,Cliente_0310,Blumenau,Sc,Alimentos,Chocolate Belga,3,38.1,0.05,108.58,Boleto,4.0,Setembro,2024,3
136,2024-07-30,174,Cliente_0174,Feira De Santana,Ba,Eletrônicos,Smartwatch,4,771.71,0.0,3086.84,Cartão De Crédito,5.0,Julho,2024,3
137,2024-03-19,352,Cliente_0352,Juazeiro Do Norte,Ce,Eletrônicos,Fone De Ouvido,3,351.32,0.0,1053.96,Cartão De Crédito,5.0,Março,2024,1
138,2024-03-07,285,Cliente_0285,Fortaleza,Ce,Eletrônicos,Smartphone,3,1873.09,0.2,4495.42,Dinheiro,2.0,Março,2024,1
139,2024-01-27,496,Cliente_0496,Juazeiro Do Norte,Ce,Alimentos,Café Premium,4,43.77,0.2,140.06,Cartão De Crédito,4.0,Janeiro,2024,1
140,2024-09-03,115,Cliente_0115,Goiânia,Go,Eletrônicos,Smartwatch,2,875.49,0.15,1488.33,Cartão De Crédito,5.0,Setembro,2024,3
141,2024-08-07,433,Cliente_0433,Pelotas,Rs,Alimentos,Café Premium,2,49.16,0.2,78.66,Boleto,4.0,Agosto,2024,3
142,2024-12-25,391,Cliente_0391,Porto Alegre,Rs,Eletrônicos,Smartwatch,2,760.29,0.0,1520.58,Cartão De Crédito,4.0,Dezembro,2024,4
143,2024-03-13,380,Cliente_0380,Juiz De Fora,Mg,Eletrônicos,Notebook,4,3498.07,0.0,13992.28,Cartão De Crédito,5.0,Março,2024,1
144,2024-07-08,160,Cliente_0160,Juazeiro Do Norte,Ce,Vestuário,Vestido,3,181.47,0.0,544.41,Boleto,5.0,Julho,2024,3
145,2024-12-11,42,Cliente_0042,Belo Horizonte,Mg,Eletrônicos,Smartphone,5,1722.54,0.0,8612.7,Pix,4.0,Dezembro,2024,4
146,2024-09-19,59,Cliente_0059,Caruaru,Pe,Casa & Decoração,Almofada,3,62.61,0.0,187.83,Cartão De Crédito,4.0,Setembro,2024,3
147,2024-11-02,29,Cliente_0029,Porto Alegre,Rs,Casa & Decoração,Almofada,2,70.51,0.05,133.97,Cartão De Crédito,1.0,Novembro,2024,4
148,2024-01-04,255,Cliente_0255,Caxias Do Sul,Rs,Vestuário,Calça Jeans,3,149.08,0.0,447.24,Cartão De Crédito,5.0,Janeiro,2024,1
149,2024-12-08,413,Cliente_0413,Vitória Da Conquista,Ba,Casa & Decoração,Almofada,5,62.81,0.2,251.24,Cartão De Crédito,,Dezembro,2024,4
150,2024-06-09,295,Cliente_0295,Campinas,Sp,Eletrônicos,Tablet,1,1146.88,0.2,917.5,Cartão De Crédito,4.0,Junho,2024,2
151,2024-03-28,411,Cliente_0411,Niterói,Rj,Casa & Decoração,Quadro Decorativo,1,204.43,0.0,204.43,Pix,5.0,Março,2024,1
152,2024-10-28,206,Cliente_0206,Fortaleza,Ce,Alimentos,Café Premium,2,42.66,0.05,81.05,Cartão De Crédito,4.0,Outubro,2024,4
153,2024-09-18,325,Cliente_0325,Feira De Santana,Ba,Alimentos,Azeite Importado,2,73.39,0.0,146.78,Pix,3.0,Setembro,2024,3
154,2024-05-11,102,Cliente_0102,Belo Horizonte,Mg,Alimentos,Azeite Importado,1,78.83,0.0,78.83,Cartão De Crédito,3.0,Maio,2024,2
155,2024-10-23,230,Cliente_0230,Caruaru,Pe,Eletrônicos,Notebook,5,3839.96,0.2,15359.84,Boleto,5.0,Outubro,2024,4
156,2024-08-14,324,Cliente_0324,Uberlândia,Mg,Alimentos,Azeite Importado,1,74.92,0.05,71.17,Cartão De Crédito,4.0,Agosto,2024,3
157,2024-08-19,20,Cliente_0020,Goiânia,Go,Eletrônicos,Fone De Ouvido,3,362.05,0.05,1031.84,Boleto,2.0,Agosto,2024,3
158,2024-08-24,298,Cliente_0298,Blumenau,Sc,Eletrônicos,Smartphone,5,1894.18,0.05,8997.36,Boleto,4.0,Agosto,2024,3
159,2024-11-05,244,Cliente_0244,Blumenau,Sc,Eletrônicos,Tablet,2,1137.03,0.0,2274.06,Dinheiro,4.0,Novembro,2024,4
160,2024-11-26,89,Cliente_0089,Maringá,Pr,Casa & Decoração,Luminária,1,134.89,0.1,121.4,Pix,2.0,Novembro,2024,4
161,2024-07-09,470,Cliente_0470,Aparecida De Goiânia,Go,Casa & Decoração,Almofada,2,67.18,0.0,134.36,Cartão De Crédito,4.0,Julho,2024,3
162,2024-06-17,49,Cliente_0049,Santos,Sp,Alimentos,Granola,3,28.74,0.0,86.22,Cartão De Crédito,4.0,Junho,2024,2
163,2024-12-05,73,Cliente_0073,Uberlândia,Mg,Alimentos,Granola,1,28.75,0.1,25.88,Cartão De Crédito,5.0,Dezembro,2024,4
164,2024-10-13,193,Cliente_0193,Blumenau,Sc,Casa & Decoração,Tapete,1,301.14,0.0,301.14,Cartão De Crédito,5.0,Outubro,2024,4
165,2024-07-04,10,Cliente_0010,Petrópolis,Rj,Vestuário,Jaqueta,4,228.6,0.1,822.96,Cartão De Crédito,4.0,Julho,2024,3
166,2024-03-20,40,Cliente_0040,Recife,Pe,Vestuário,Tênis,2,319.05,0.0,638.1,Boleto,4.0,Março,2024,1
167,2024-03-19,84,Cliente_0084,Florianópolis,Sc,Eletrônicos,Fone De Ouvido,5,337.45,0.05,1602.89,Pix,3.0,Março,2024,1
168,2024-05-01,497,Cliente_0497,Campinas,Sp,Vestuário,Vestido,3,177.15,0.15,451.73,Cartão De Crédito,4.0,Maio,2024,2
169,2024-08-28,463,Cliente_0463,Goiânia,Go,Casa & Decoração,Tapete,3,271.54,0.2,651.7,Cartão De Crédito,5.0,Agosto,2024,3
170,2024-08-02,495,Cliente_0495,Caxias Do Sul,Rs,Casa & Decoração,Vaso,5,90.62,0.1,407.79,Cartão De Crédito,3.0,Agosto,2024,3
171,2024-07-09,284,Cliente_0284,Santos,Sp,Vestuário,Tênis,4,309.62,0.2,990.78,Pix,5.0,Julho,2024,3
172,2024-09-19,76,Cliente_0076,Rio De Janeiro,Rj,Eletrônicos,Fone De Ouvido,3,316.16,0.0,948.48,Cartão De Crédito,5.0,Setembro,2024,3
173,2024-07-21,258,Cliente_0258,Curitiba,Pr,Vestuário,Vestido,4,189.46,0.0,757.84,Cartão De Crédito,4.0,Julho,2024,3
174,2024-11-28,172,Cliente_0172,Salvador,Ba,Eletrônicos,Fone De Ouvido,3,330.85,0.0,992.55,Cartão De Crédito,5.0,Novembro,2024,4
